match,market,question,prob,outcome,brier,source,tier,score
Ghana vs Panama,Double Chance,Ghana or Panama (12),0.7236,1,0.0764,sharp,,1-0
Ghana vs Panama,Double Chance,Panama or Draw (X2),0.5583,0,0.3117,sharp,,1-0
Ghana vs Panama,First To Score,Will there be no goals (0-0)?,0.0883,0,0.0078,poisson,,1-0
Ghana vs Panama,Handicap,Will Ghana avoid losing by 2+ (+1.5)?,0.8898,1,0.0121,poisson,,1-0
Ghana vs Panama,Handicap,Will Ghana win by 2+ goals?,0.2146,0,0.0461,poisson,,1-0
Ghana vs Panama,Handicap,Will Ghana win by 3+ goals?,0.0811,0,0.0066,poisson,,1-0
Ghana vs Panama,Handicap,Will Panama avoid losing by 2+ (+1.5)?,0.7854,1,0.0461,poisson,,1-0
Ghana vs Panama,Handicap,Will Panama win by 2+ goals?,0.1102,0,0.0121,poisson,,1-0
Ghana vs Panama,Moneyline,Will Ghana win the match?,0.4417,1,0.3117,sharp,,1-0
Ghana vs Panama,Moneyline,Will Panama win the match?,0.282,0,0.0795,sharp,,1-0
Ghana vs Panama,Moneyline,Will the match end in a draw?,0.2764,0,0.0764,sharp,,1-0
Ghana vs Panama,Team Total,Will Ghana score over 0.5?,0.7561,1,0.0595,poisson,,1-0
Ghana vs Panama,Team Total,Will Ghana score over 1.5?,0.412,0,0.1697,poisson,,1-0
Ghana vs Panama,Team Total,Will Panama score over 0.5?,0.6588,0,0.434,poisson,,1-0
Ghana vs Panama,Team Total,Will Panama score over 1.5?,0.2919,0,0.0852,poisson,,1-0
Ghana vs Panama,Total Goals,Will total goals be over 1.5?,0.715,0,0.5112,poisson,,1-0
Ghana vs Panama,Total Goals,Will total goals be over 2.5?,0.4527,0,0.2049,poisson,,1-0
Ghana vs Panama,Total Goals,Will total goals be over 3.5?,0.2395,0,0.0574,poisson,,1-0
Ghana vs Panama,Total Goals O/E,Will the total goals be even?,0.5136,0,0.2638,poisson,,1-0
Ghana vs Panama,Total Goals O/E,Will the total goals be odd?,0.4864,1,0.2638,poisson,,1-0
Uzbekistan vs Colombia,BTTS,Will NOT both teams score?,0.5865,0,0.344,poisson,,1-3
Uzbekistan vs Colombia,BTTS,Will both teams score?,0.4135,1,0.344,poisson,,1-3
Uzbekistan vs Colombia,Correct Score,Will the score be Uzbekistan 0-0 Colombia?,0.0744,0,0.0055,poisson,,1-3
Uzbekistan vs Colombia,Correct Score,Will the score be Uzbekistan 0-1 Colombia?,0.1384,0,0.0192,poisson,,1-3
Uzbekistan vs Colombia,Correct Score,Will the score be Uzbekistan 0-2 Colombia?,0.1425,0,0.0203,poisson,,1-3
Uzbekistan vs Colombia,Correct Score,Will the score be Uzbekistan 0-3 Colombia?,0.0954,0,0.0091,poisson,,1-3
Uzbekistan vs Colombia,Correct Score,Will the score be Uzbekistan 1-1 Colombia?,0.0947,0,0.009,poisson,,1-3
Uzbekistan vs Colombia,Correct Score,Will the score be Uzbekistan 1-2 Colombia?,0.0914,0,0.0084,poisson,,1-3
Uzbekistan vs Colombia,Double Chance,Colombia or Draw (X2),0.8952,1,0.011,sharp,,1-3
Uzbekistan vs Colombia,Double Chance,Uzbekistan or Colombia (12),0.797,1,0.0412,sharp,,1-3
Uzbekistan vs Colombia,Double Chance,Uzbekistan or Draw (1X),0.3078,0,0.0947,sharp,,1-3
Uzbekistan vs Colombia,First To Score,Will there be no goals (0-0)?,0.0744,0,0.0055,poisson,,1-3
Uzbekistan vs Colombia,Handicap,Will Colombia avoid losing by 2+ (+1.5)?,0.97,1,0.0009,poisson,,1-3
Uzbekistan vs Colombia,Handicap,Will Colombia win by 2+ goals?,0.4406,1,0.3129,poisson,,1-3
Uzbekistan vs Colombia,Handicap,Will Uzbekistan avoid losing by 2+ (+1.5)?,0.5594,0,0.3129,poisson,,1-3
Uzbekistan vs Colombia,Handicap,Will Uzbekistan win by 2+ goals?,0.03,0,0.0009,poisson,,1-3
Uzbekistan vs Colombia,Handicap,Will Uzbekistan win by 3+ goals?,0.03,0,0.0009,poisson,,1-3
Uzbekistan vs Colombia,Moneyline,Will Colombia win the match?,0.6922,1,0.0947,sharp,,1-3
Uzbekistan vs Colombia,Moneyline,Will Uzbekistan win the match?,0.1048,0,0.011,sharp,,1-3
Uzbekistan vs Colombia,Moneyline,Will the match end in a draw?,0.203,0,0.0412,sharp,,1-3
Uzbekistan vs Colombia,Team Total,Will Colombia score over 0.5?,0.8656,1,0.0181,poisson,,1-3
Uzbekistan vs Colombia,Team Total,Will Colombia score over 1.5?,0.5959,1,0.1633,poisson,,1-3
Uzbekistan vs Colombia,Team Total,Will Uzbekistan score over 0.5?,0.4734,1,0.2773,poisson,,1-3
Uzbekistan vs Colombia,Team Total,Will Uzbekistan score over 1.5?,0.1357,0,0.0184,poisson,,1-3
Uzbekistan vs Colombia,Total Goals,Will total goals be over 1.5?,0.7455,1,0.0648,poisson,,1-3
Uzbekistan vs Colombia,Total Goals,Will total goals be over 2.5?,0.4937,1,0.2563,poisson,,1-3
Uzbekistan vs Colombia,Total Goals,Will total goals be over 3.5?,0.2746,1,0.5262,poisson,,1-3
Uzbekistan vs Colombia,Total Goals O/E,Will the total goals be even?,0.5098,1,0.2403,poisson,,1-3
Uzbekistan vs Colombia,Total Goals O/E,Will the total goals be odd?,0.4902,0,0.2403,poisson,,1-3
Czech Republic vs South Africa,BTTS,Will NOT both teams score?,0.4929,0,0.243,poisson,,1-1
Czech Republic vs South Africa,BTTS,Will both teams score?,0.5071,1,0.243,poisson,,1-1
Czech Republic vs South Africa,Correct Score,Will the score be Czech Republic 0-0 South Africa?,0.0753,0,0.0057,poisson,,1-1
Czech Republic vs South Africa,Correct Score,Will the score be Czech Republic 0-1 South Africa?,0.0631,0,0.004,poisson,,1-1
Czech Republic vs South Africa,Correct Score,Will the score be Czech Republic 1-0 South Africa?,0.1151,0,0.0132,poisson,,1-1
Czech Republic vs South Africa,Correct Score,Will the score be Czech Republic 1-1 South Africa?,0.1191,1,0.776,poisson,,1-1
Czech Republic vs South Africa,Correct Score,Will the score be Czech Republic 2-0 South Africa?,0.1013,0,0.0103,poisson,,1-1
Czech Republic vs South Africa,Correct Score,Will the score be Czech Republic 2-1 South Africa?,0.0969,0,0.0094,poisson,,1-1
Czech Republic vs South Africa,Double Chance,Czech Republic or Draw (1X),0.792,1,0.0433,sharp,,1-1
Czech Republic vs South Africa,Double Chance,Czech Republic or South Africa (12),0.75,0,0.5625,sharp,,1-1
Czech Republic vs South Africa,Double Chance,South Africa or Draw (X2),0.4579,1,0.2939,sharp,,1-1
Czech Republic vs South Africa,First To Score,Will there be no goals (0-0)?,0.0753,0,0.0057,poisson,,1-1
Czech Republic vs South Africa,Handicap,Will Czech Republic avoid losing by 2+ (+1.5)?,0.9269,1,0.0053,poisson,,1-1
Czech Republic vs South Africa,Handicap,Will Czech Republic win by 2+ goals?,0.3001,0,0.0901,poisson,,1-1
Czech Republic vs South Africa,Handicap,Will Czech Republic win by 3+ goals?,0.1319,0,0.0174,poisson,,1-1
Czech Republic vs South Africa,Handicap,Will South Africa avoid losing by 2+ (+1.5)?,0.6999,1,0.0901,poisson,,1-1
Czech Republic vs South Africa,Handicap,Will South Africa win by 2+ goals?,0.0731,0,0.0053,poisson,,1-1
Czech Republic vs South Africa,Moneyline,Will Czech Republic win the match?,0.5421,0,0.2939,sharp,,1-1
Czech Republic vs South Africa,Moneyline,Will South Africa win the match?,0.208,0,0.0433,sharp,,1-1
Czech Republic vs South Africa,Moneyline,Will the match end in a draw?,0.25,1,0.5625,sharp,,1-1
Czech Republic vs South Africa,Team Total,Will Czech Republic score over 0.5?,0.8159,1,0.0339,poisson,,1-1
Czech Republic vs South Africa,Team Total,Will Czech Republic score over 1.5?,0.5043,0,0.2543,poisson,,1-1
Czech Republic vs South Africa,Team Total,Will South Africa score over 0.5?,0.6159,1,0.1475,poisson,,1-1
Czech Republic vs South Africa,Team Total,Will South Africa score over 1.5?,0.2484,0,0.0617,poisson,,1-1
Czech Republic vs South Africa,Total Goals,Will total goals be over 1.5?,0.7465,1,0.0643,poisson,,1-1
Czech Republic vs South Africa,Total Goals,Will total goals be over 2.5?,0.4938,0,0.2438,poisson,,1-1
Czech Republic vs South Africa,Total Goals,Will total goals be over 3.5?,0.2747,0,0.0755,poisson,,1-1
Czech Republic vs South Africa,Total Goals O/E,Will the total goals be even?,0.5117,1,0.2384,poisson,,1-1
Czech Republic vs South Africa,Total Goals O/E,Will the total goals be odd?,0.4883,0,0.2384,poisson,,1-1
Canada vs Qatar,BTTS,Will NOT both teams score?,0.5556,1,0.1975,poisson,,6-0
Canada vs Qatar,BTTS,Will both teams score?,0.4444,0,0.1975,poisson,,6-0
Canada vs Qatar,Correct Score,Will the score be Canada 1-0 Qatar?,0.116,0,0.0135,poisson,,6-0
Canada vs Qatar,Correct Score,Will the score be Canada 1-1 Qatar?,0.084,0,0.0071,poisson,,6-0
Canada vs Qatar,Correct Score,Will the score be Canada 2-0 Qatar?,0.1352,0,0.0183,poisson,,6-0
Canada vs Qatar,Correct Score,Will the score be Canada 2-1 Qatar?,0.0916,0,0.0084,poisson,,6-0
Canada vs Qatar,Correct Score,Will the score be Canada 3-0 Qatar?,0.1023,0,0.0105,poisson,,6-0
Canada vs Qatar,Correct Score,Will the score be Canada 3-1 Qatar?,0.0693,0,0.0048,poisson,,6-0
Canada vs Qatar,Double Chance,Canada or Draw (1X),0.9081,1,0.0084,sharp,,6-0
Canada vs Qatar,Double Chance,Canada or Qatar (12),0.8234,1,0.0312,sharp,,6-0
Canada vs Qatar,Double Chance,Qatar or Draw (X2),0.2685,0,0.0721,sharp,,6-0
Canada vs Qatar,First To Score,Will there be no goals (0-0)?,0.0558,0,0.0031,poisson,,6-0
Norway vs Senegal,Correct Score,Will the score be Norway 3-0 Senegal?,0.1511,0,0.0228,poisson,,3-2
Norway vs Senegal,Correct Score,Will the score be Norway 3-1 Senegal?,0.0577,0,0.0033,poisson,,3-2
Norway vs Senegal,Correct Score,Will the score be Norway 4-0 Senegal?,0.1238,0,0.0153,poisson,,3-2
Norway vs Senegal,Correct Score,Will the score be Norway 5-0 Senegal?,0.0811,0,0.0066,poisson,,3-2
Jordan vs Algeria,Correct Score,Will the score be Jordan 1-3 Algeria?,0.0665,0,0.0044,poisson,,1-2
Portugal vs Uzbekistan,Correct Score,Will the score be Portugal 4-0 Uzbekistan?,0.0866,0,0.0075,poisson,,5-0
Portugal vs Uzbekistan,Correct Score,Will the score be Portugal 5-0 Uzbekistan?,0.1627,1,0.7011,poisson,,5-0
Portugal vs Uzbekistan,Correct Score,Will the score be Portugal 6-0 Uzbekistan?,0.1221,0,0.0149,poisson,,5-0
Portugal vs Uzbekistan,Correct Score,Will the score be Portugal 7-0 Uzbekistan?,0.0785,0,0.0062,poisson,,5-0
England vs Ghana,BTTS,Will NOT both teams score?,0.5577,1,0.1956,poisson,,0-0
England vs Ghana,BTTS,Will both teams score?,0.4423,0,0.1956,poisson,,0-0
England vs Ghana,Correct Score,Will the score be England 1-0 Ghana?,0.0861,0,0.0074,poisson,,0-0
England vs Ghana,Correct Score,Will the score be England 2-0 Ghana?,0.1255,0,0.0158,poisson,,0-0
England vs Ghana,Correct Score,Will the score be England 2-1 Ghana?,0.079,0,0.0062,poisson,,0-0
England vs Ghana,Correct Score,Will the score be England 3-0 Ghana?,0.1188,0,0.0141,poisson,,0-0
England vs Ghana,Correct Score,Will the score be England 3-1 Ghana?,0.0748,0,0.0056,poisson,,0-0
England vs Ghana,Correct Score,Will the score be England 4-0 Ghana?,0.0844,0,0.0071,poisson,,0-0
England vs Ghana,Double Chance,England or Draw (1X),0.946,1,0.0029,sharp,,0-0
England vs Ghana,Double Chance,England or Ghana (12),0.8784,0,0.7716,sharp,,0-0
England vs Ghana,Double Chance,Ghana or Draw (X2),0.1756,1,0.6796,sharp,,0-0
England vs Ghana,First To Score,Will there be no goals (0-0)?,0.0333,1,0.9345,poisson,,0-0
England vs Ghana,Handicap,Will England avoid losing by 2+ (+1.5)?,0.97,1,0.0009,poisson,,0-0
England vs Ghana,Handicap,Will England win by 2+ goals?,0.6318,0,0.3992,poisson,,0-0
England vs Ghana,Handicap,Will England win by 3+ goals?,0.4126,0,0.1702,poisson,,0-0
