Team,Rating,CL_GP,season
Leganes,-0.1148,0,2025-26
FC Astana,-0.1149,12,2025-26
Hearts,-0.124,6,2025-26
Besiktas,-0.125,14,2025-26
Annecy,-0.1256,0,2025-26
Omonia,-0.1258,8,2025-26
Dresden,-0.1261,0,2025-26
Anderlecht,-0.1277,10,2025-26
TNS,-0.1278,6,2025-26
HJK,-0.1303,12,2025-26
Andorra,-0.1333,0,2025-26
Leicester,-0.1336,0,2025-26
Elfsborg,-0.1349,8,2025-26
Kaiserslautern,-0.1371,0,2025-26
Rodez,-0.1388,0,2025-26
Getafe,-0.1415,0,2025-26
Petrocub,-0.1481,6,2025-26
Larne,-0.1498,6,2025-26
St. Gallen,-0.1506,6,2025-26
Empoli,-0.1575,0,2025-26
Blackburn,-0.1626,0,2025-26
Espanol,-0.1645,0,2025-26
Noah,-0.1663,6,2025-26
RFS,-0.1672,8,2025-26
M'gladbach,-0.1672,0,2025-26
Din. Minsk,-0.1687,6,2025-26
Dyn. Kyiv,-0.1703,8,2025-26
Mainz,-0.1738,0,2025-26
Holstein Kiel,-0.1756,0,2025-26
Spezia,-0.1777,0,2025-26
TSC,-0.1798,14,2025-26
LASK,-0.18,12,2025-26
Carrarese,-0.1802,0,2025-26
Stoke,-0.1824,0,2025-26
Sevilla,-0.1851,6,2025-26
Valencia,-0.1857,0,2025-26
Crvena zvezda,-0.188,24,2025-26
Girona,-0.1941,8,2025-26
Sparta Prague,-0.1961,18,2025-26
Hull,-0.2028,0,2025-26
Genoa,-0.204,0,2025-26
Slovan Bratislava,-0.2056,16,2025-26
Albacete,-0.2072,0,2025-26
Sassuolo,-0.2079,0,2025-26
Union Berlin,-0.2129,6,2025-26
Boulogne,-0.2135,0,2025-26
Clermont,-0.2194,0,2025-26
Ceuta,-0.2286,0,2025-26
Nancy,-0.2303,0,2025-26
Preuss Muenster,-0.2311,0,2025-26
QPR,-0.2365,0,2025-26
Werder Bremen,-0.2457,0,2025-26
Cadiz,-0.2466,0,2025-26
Royale Union SG,-0.2539,28,2025-26
FC Koln,-0.2539,0,2025-26
Portsmouth,-0.2544,0,2025-26
Hamburg,-0.2578,0,2025-26
Celtic,-0.2587,26,2025-26
Zaragoza,-0.2668,0,2025-26
Vallecano,-0.2673,0,2025-26
Huesca,-0.2681,0,2025-26
Avellino,-0.2696,0,2025-26
Din. Zagreb,-0.279,20,2025-26
Virtus Entella,-0.2803,0,2025-26
Sociedad B,-0.2851,0,2025-26
Mantova,-0.2984,0,2025-26
Braunschweig,-0.3059,0,2025-26
Alaves,-0.3116,0,2025-26
Udinese,-0.3125,0,2025-26
Preston,-0.3148,0,2025-26
Laval,-0.316,0,2025-26
Karlsruhe,-0.3251,0,2025-26
Ein Frankfurt,-0.3272,28,2025-26
Mirandes,-0.3276,0,2025-26
Panathinaikos,-0.3285,27,2025-26
Cultural Leonesa,-0.3326,0,2025-26
Ferencvaros,-0.3385,30,2025-26
Grenoble,-0.3404,0,2025-26
Mallorca,-0.3408,0,2025-26
Genk,-0.3413,17,2025-26
Augsburg,-0.3428,0,2025-26
Pescara,-0.3524,0,2025-26
Torino,-0.3543,0,2025-26
Plzen,-0.3587,32,2025-26
Charlton,-0.371,0,2025-26
Elche,-0.3717,0,2025-26
Brest,-0.3743,10,2025-26
Padova,-0.3772,0,2025-26
Bari,-0.378,0,2025-26
Oxford,-0.3781,0,2025-26
Levante,-0.383,0,2025-26
Wolfsburg,-0.3896,0,2025-26
Paris FC,-0.3932,0,2025-26
Reggiana,-0.4131,0,2025-26
Basel,-0.4142,8,2025-26
Amiens,-0.4285,0,2025-26
Lorient,-0.4466,0,2025-26
Burnley,-0.4623,0,2025-26
St Pauli,-0.4826,0,2025-26
Parma,-0.4942,0,2025-26
Greuther Furth,-0.5038,0,2025-26
Auxerre,-0.5084,0,2025-26
Salzburg,-0.5221,22,2025-26
Oviedo,-0.5323,0,2025-26
Cagliari,-0.5343,0,2025-26
FC Copenhagen,-0.5343,26,2025-26
Slavia Prague,-0.5574,24,2025-26
Nice,-0.5685,16,2025-26
Lecce,-0.5698,0,2025-26
Le Havre,-0.574,0,2025-26
Brann,-0.6331,10,2025-26
Pisa,-0.6733,0,2025-26
Verona,-0.6797,0,2025-26
Ajax,-0.7168,30,2025-26
Heidenheim,-0.7333,8,2025-26
Nantes,-0.7518,0,2025-26
Rangers,-0.7529,28,2025-26
Ludogorets,-0.7625,26,2025-26
Cremonese,-0.7684,0,2025-26
Young Boys,-0.7864,24,2025-26
Angers,-0.7909,0,2025-26
Pafos,-0.8262,18,2025-26
G.A. Eagles,-0.8442,8,2025-26
Metz,-0.9097,0,2025-26
Utrecht,-0.9444,8,2025-26
Sturm Graz,-0.9448,26,2025-26
Qarabag,-0.9855,28,2025-26
FCSB,-0.9902,20,2025-26
Sheffield Weds,-1.0202,0,2025-26
Malmo FF,-1.161,16,2025-26
Kairat Almaty,-1.2851,8,2025-26
Maccabi Tel Aviv,-1.378,24,2025-26
